country,iso3,year,e_inc_100k,e_pop_num,e_tbhiv_prct,e_hh_contacts,e_prevtx_eligible,lab_xpert,lab_sm,tsr_calculated,priv_new_dx,pub_new_dx,budget_tot,budget_lab,exp_tot,caseb_err_nat,xpert_per_100k_inc,funding_execution_pct,private_sector_pct,priority_score
Kyrgyzstan,KGZ,2022,130.0,6630623,2.8,7400.0,1100.0,,,96.11111111111111,,,16374990.0,1237647.0,14809576.0,0.0,,90.440214009291,85.13513513513513,1.1842105263157894
Lao People's Democratic Republic,LAO,2018,162.0,7105006,6.3,,,,,75.34246575342466,,,3675579.0,1094847.0,2575134.0,,,70.06063534479874,85.13513513513513,1.873138345594832
Lao People's Democratic Republic,LAO,2019,155.0,7212053,5.5,,,,,75.34246575342466,,,3699330.0,788521.0,2159677.0,,,58.38022020203658,85.13513513513513,1.873138345594832
Lao People's Democratic Republic,LAO,2020,149.0,7319399,5.6,,,,,75.34246575342466,,,2242390.0,170981.0,2966749.0,,,132.3029892213219,85.13513513513513,1.873138345594832
Lao People's Democratic Republic,LAO,2021,143.0,7425057,5.8,,,,,75.34246575342466,,,4540827.0,1419215.0,1762735.0,,,38.81969077438978,85.13513513513513,1.873138345594832
Lao People's Democratic Republic,LAO,2022,138.0,7529475,4.5,24000.0,2800.0,,,75.34246575342466,,,3889012.0,1007615.0,2058558.0,42.0,,52.93267287424158,85.13513513513513,1.873138345594832
Latvia,LVA,2018,28.0,1935630,7.3,,,,,95.45454545454545,,,2185827.0,,2216505.0,,,101.40349625107568,85.13513513513513,0.1347785108388313
Latvia,LVA,2019,24.0,1916555,7.7,,,,,95.45454545454545,,,2216505.0,,2216505.0,,,100.0,85.13513513513513,0.1347785108388313
Latvia,LVA,2020,20.0,1897052,7.7,,,,,95.45454545454545,,,2216505.0,,,,,100.0,85.13513513513513,0.1347785108388313
Latvia,LVA,2021,16.0,1873919,7.7,,,,,95.45454545454545,,,,,4425566.0,,,100.0,85.13513513513513,0.1347785108388313
Latvia,LVA,2022,19.0,1850651,9.2,330.0,7.5,,,95.45454545454545,,,7235809.0,,6373380.0,42.0,,88.08109777358689,85.13513513513513,0.1347785108388313
Lebanon,LBN,2018,13.0,5950839,1.0,,,,,95.45454545454545,378.0,66.0,3812803.0,118800.0,1724856.0,,,45.238529239512246,85.13513513513513,0.1347785108388313
Lebanon,LBN,2019,15.0,5781907,0.81,,,,,92.5925925925926,503.0,153.0,2762162.0,150000.0,1357560.0,,,49.14845689716968,76.67682926829268,0.16026909378709933
Lebanon,LBN,2020,13.0,5662923,0.37,,,,,97.67441860465115,474.0,,2950553.0,388133.0,607589.0,,,20.592377089989572,76.67682926829268,0.13174640584492106
Lebanon,LBN,2021,9.7,5592631,0.88,,,,,90.2439024390244,344.0,90.0,1245767.0,157338.0,598547.0,,,48.046464547543806,79.26267281105991,0.10630847367014166
Lebanon,LBN,2022,11.0,5489739,0.3,820.0,22.0,,,90.2439024390244,385.0,30.0,1622947.0,200000.0,643946.0,44.0,,39.67757419065441,92.7710843373494,0.10630847367014166
Lesotho,LSO,2018,659.0,2198017,66.0,,,,,82.75862068965517,,,3318438.0,6666.0,2430808.0,,,73.25157197452536,87.46194298367008,7.867846850555784
Lesotho,LSO,2019,654.0,2225702,62.0,,,,,77.9495751497423,,,12421579.0,2467015.0,5790522.0,,,46.616633843410725,87.46194298367008,8.28376845295962
Lesotho,LSO,2020,600.0,2254100,62.0,,,,,75.80124758012475,,,10261914.0,562986.0,4711925.0,,,45.9166291980229,87.46194298367008,7.812373091648486
Lesotho,LSO,2021,630.0,2281454,64.0,,,,,77.03562340966921,,,14216736.0,1867484.0,5859968.0,,,41.2188001521587,87.46194298367008,8.073235946263205
Lesotho,LSO,2022,661.0,2305825,63.0,7300.0,1200.0,,,77.03562340966921,,,13373286.0,2099117.0,2769600.0,0.0,,20.7099436892324,87.46194298367008,8.073235946263205
Liberia,LBR,2018,308.0,4889391,17.0,,,,,75.67954220314735,,,6396847.0,1089641.0,1459155.0,,,22.810534627450053,87.46194298367008,4.016716729789735
Liberia,LBR,2019,308.0,4985289,14.0,,,,,75.67954220314735,,,7270844.0,261281.0,,,,22.810534627450053,87.46194298367008,4.016716729789735
Liberia,LBR,2020,308.0,5087584,11.0,,,,,75.67954220314735,,,9884786.0,561736.0,,,,22.810534627450053,87.46194298367008,4.016716729789735
Liberia,LBR,2021,308.0,5193416,11.0,,,,,75.67954220314735,,,9114764.0,1450211.0,1516258.0,,,16.635186604941172,87.46194298367008,4.016716729789735
Liberia,LBR,2022,308.0,5302681,11.0,16000.0,2700.0,,,75.67954220314735,,,4257685.0,109259.0,462190.0,0.0,,10.855429652498952,87.46194298367008,4.016716729789735
Libya,LBY,2018,40.0,6477793,1.2,,,,,76.0,,,,,,,,95.79236594165451,87.46194298367008,0.7662337662337663
Libya,LBY,2019,59.0,6569088,1.2,,,,,76.0,,,,,,,,95.79236594165451,87.46194298367008,0.7662337662337663
Libya,LBY,2020,59.0,6653942,0.65,,,,,85.0,,,3660000.0,1500000.0,,,,95.79236594165451,87.46194298367008,0.686046511627907
Libya,LBY,2021,59.0,6735277,0.65,,,,,80.73394495412845,,,2600000.0,950000.0,,,,95.79236594165451,87.46194298367008,0.7218543046357615
Libya,LBY,2022,59.0,6812341,1.2,4400.0,130.0,,,80.73394495412845,,,3147000.0,1250000.0,,0.0,,95.79236594165451,87.46194298367008,0.7218543046357615
Lithuania,LTU,2018,43.0,2876128,3.2,,,,,100.0,,,,,,,,95.79236594165451,87.46194298367008,0.42574257425742573
Lithuania,LTU,2019,41.0,2849083,2.6,,,,,100.0,,,,,,,,95.79236594165451,87.46194298367008,0.40594059405940597
Lithuania,LTU,2020,28.0,2820267,2.9,,,,,100.0,,,,,,,,95.79236594165451,87.46194298367008,0.27722772277227725
Lithuania,LTU,2021,26.0,2786651,2.5,,,,,100.0,,,,,,,,95.79236594165451,87.46194298367008,0.25742574257425743
Lithuania,LTU,2022,30.0,2750055,2.7,790.0,18.0,,,100.0,,,,,,,,95.79236594165451,87.46194298367008,0.25742574257425743
Luxembourg,LUX,2018,7.9,607913,4.5,,,,,97.01336127849096,,,,,,,,95.79236594165451,87.46194298367008,2.3772269102981154
Luxembourg,LUX,2019,8.9,619973,0.0,,,,,97.01336127849096,,,,,,,,95.79236594165451,87.46194298367008,2.3772269102981154
Luxembourg,LUX,2020,5.8,630399,0.0,,,,,97.01336127849096,,,,,,,,95.79236594165451,87.46194298367008,2.3772269102981154
Luxembourg,LUX,2021,6.1,639321,0.0,,,,,97.01336127849096,,,,,,,,95.79236594165451,87.46194298367008,2.3772269102981154
Luxembourg,LUX,2022,8.3,647599,3.1,40.0,0.95,,,97.01336127849096,,,,,,42.0,,95.79236594165451,87.46194298367008,2.3772269102981154
Madagascar,MDG,2018,233.0,26846541,1.6,,,,,97.01336127849096,,,2699403.0,782676.0,2585822.0,,,95.79236594165451,87.46194298367008,2.3772269102981154
Madagascar,MDG,2019,233.0,27533134,1.2,,,,,97.01336127849096,,,2890763.0,259018.0,2410949.0,,,83.40182159519823,87.46194298367008,2.3772269102981154
Madagascar,MDG,2020,233.0,28225177,1.6,,,,,97.01336127849096,,,3250185.0,582974.0,3923429.0,,,120.71402089419524,87.46194298367008,2.3772269102981154
Madagascar,MDG,2021,233.0,28915653,1.6,,,,,87.82523318605793,,,6373997.0,1719718.0,,,,120.71402089419524,87.46194298367008,2.6231284922376297
Madagascar,MDG,2022,233.0,29611714,1.6,110000.0,19000.0,,,87.82523318605793,,,,,2842822.0,42.0,,120.71402089419524,87.46194298367008,2.6231284922376297
Malawi,MWI,2018,153.0,18367883,48.0,,,,,92.6458157227388,3160.0,453.0,25149440.0,2662135.0,11101202.0,,,44.14095105099756,87.46194298367008,1.633815657637002
Malawi,MWI,2019,146.0,18867337,47.0,,,,,90.71757735352205,3601.0,158.0,28443737.0,2876297.0,11253341.0,,,39.56351094091469,95.79675445597233,1.591843180040052
Malawi,MWI,2020,138.0,19377061,45.0,,,,,92.86234522942462,3601.0,,26598888.0,2586635.0,7537657.0,,,28.338241057295328,95.79675445597233,1.470238141426055
Malawi,MWI,2021,132.0,19889742,45.0,,,,,92.87410926365796,3611.0,0.0,38669119.0,9873203.0,10154492.0,,,26.259951771851846,100.0,1.4061385086409757
Malawi,MWI,2022,125.0,20405317,48.0,26000.0,4800.0,,,92.87410926365796,4250.0,86.0,33800435.0,6115764.0,15022338.0,0.0,,44.444214993091066,98.01660516605166,1.4061385086409757
Malaysia,MYS,2018,92.0,32399271,6.4,,,,,89.64539007092198,,,15980000.0,1000000.0,15144090.0,,,94.76902377972466,85.39403743933441,1.0149440575854785
Malaysia,MYS,2019,92.0,32804020,5.9,,,,,90.0,,,15980000.0,1000000.0,15176090.0,,,94.96927409261578,85.39403743933441,1.010989010989011
Malaysia,MYS,2020,91.0,33199993,5.6,,,,,91.4780292942743,,,15984000.0,1000000.0,15620080.0,,,97.72322322322321,85.39403743933441,0.9840175087471743
Malaysia,MYS,2021,97.0,33573874,4.5,,,,,92.80774550484094,,,16580000.0,1400000.0,15876970.0,,,95.75977080820265,85.39403743933441,1.0340297539182874
Malaysia,MYS,2022,113.0,33938221,4.5,50000.0,1300.0,,,92.80774550484094,,,16846000.0,1400000.0,16246565.0,42.0,,96.44167754956666,85.39403743933441,1.0340297539182874
Maldives,MDV,2018,33.0,489758,0.72,,,,,100.0,,,182879.0,,216374.0,,,118.3153888636749,85.39403743933441,0.32673267326732675
Maldives,MDV,2019,36.0,504508,0.0,,,,,100.0,,,300000.0,,240760.0,,,80.25333333333333,85.39403743933441,0.3564356435643564
Maldives,MDV,2020,37.0,514438,0.0,,,,,100.0,,,300000.0,,83305.0,,,27.768333333333334,85.39403743933441,0.36633663366336633
Maldives,MDV,2021,38.0,521457,0.0,,,,,100.0,,,3281000.0,,82201.0,,,2.5053642182261506,85.39403743933441,0.37623762376237624
Maldives,MDV,2022,39.0,523787,0.0,150.0,3.5,,,100.0,,,300000.0,,14272.0,0.0,,4.757333333333333,85.39403743933441,0.37623762376237624
Mali,MLI,2018,53.0,19934298,10.0,,,,,100.0,,,7237619.0,1796883.0,4428617.0,,,61.18886611743448,85.39403743933441,0.3069306930693069
Mali,MLI,2019,52.0,20567424,9.8,,,,,100.0,,,5433871.0,526880.0,1744207.0,,,32.09879292312976,85.39403743933441,0.3069306930693069
Mali,MLI,2020,51.0,21224040,9.3,,,,,100.0,,,5789921.0,590589.0,2274456.0,,,39.283023032611325,85.39403743933441,0.3069306930693069
Mali,MLI,2021,50.0,21904983,8.6,,,,,100.0,,,6841564.0,1400000.0,9904629.0,,,144.77141484023244,85.39403743933441,0.3069306930693069
Mali,MLI,2022,49.0,22593590,8.8,24000.0,4900.0,,,100.0,,,8474565.0,144250.0,,0.0,,144.77141484023244,85.39403743933441,0.3069306930693069
Malta,MLT,2018,13.0,491586,16.0,,,,,100.0,,,,,,,,416.8522565320665,85.39403743933441,0.3069306930693069
Malta,MLT,2019,22.0,503635,3.3,,,,,100.0,,,,,,,,416.8522565320665,85.39403743933441,0.3069306930693069
Malta,MLT,2020,31.0,515358,1.7,,,,,100.0,,,,,,,,416.8522565320665,85.39403743933441,0.3069306930693069
Malta,MLT,2021,12.0,526748,2.1,,,,,100.0,,,,,,,,416.8522565320665,85.39403743933441,0.1188118811881188
Malta,MLT,2022,13.0,533286,0.0,47.0,0.9,,,100.0,,,,,,42.0,,416.8522565320665,85.39403743933441,0.1188118811881188
Marshall Islands,MHL,2018,918.0,45989,,,,,,96.92307692307692,,,421000.0,70000.0,1754948.0,,,416.8522565320665,85.39403743933441,9.374705420267086
Marshall Islands,MHL,2019,483.0,44728,0.44,,,,,97.05882352941177,,,642000.0,12000.0,873300.0,,,136.02803738317758,85.39403743933441,4.925614877024595
Marshall Islands,MHL,2020,483.0,43413,0.0,,,,,96.875,,,1575200.0,400000.0,,,,136.02803738317758,85.39403743933441,4.934865900383142
Marshall Islands,MHL,2021,483.0,42050,0.0,,,,,96.7741935483871,,,1162000.0,10000.0,,,,136.02803738317758,85.39403743933441,4.939953810623556
Marshall Islands,MHL,2022,483.0,41569,0.0,,,,,96.7741935483871,,,1565473.0,444000.0,,42.0,,136.02803738317758,85.39403743933441,4.939953810623556
Mauritania,MRT,2018,93.0,4270712,4.0,,,,,75.39682539682539,,,574021.0,,258696.0,,,45.06734074188923,85.39403743933441,1.2173280698109288
Mauritania,MRT,2019,89.0,4383849,3.7,,,,,88.60759493670885,,,1806402.0,225986.0,156804.0,,,8.680459831200364,85.39403743933441,0.9932193812685409
Mauritania,MRT,2020,85.0,4498604,3.7,,,,,72.0,,,554021.0,,156804.0,,,28.30289826558921,85.39403743933441,1.1643835616438356
Mauritania,MRT,2021,81.0,4614974,3.7,,,,,78.4,,,2223932.0,589948.0,,,,28.30289826558921,85.39403743933441,1.0201511335012594
Mauritania,MRT,2022,78.0,4736139,1.7,6000.0,1000.0,,,78.4,,,,,,42.0,,28.30289826558921,85.39403743933441,1.0201511335012594
Mauritius,MUS,2018,13.0,1295381,22.0,,,,,100.0,,,,,,,,101.00553216659127,85.39403743933441,0.12871287128712872
Mauritius,MUS,2019,12.0,1296279,26.0,,,,,33.33333333333333,,,,,,,,101.00553216659127,85.39403743933441,0.3495145631067962
Mauritius,MUS,2020,12.0,1297828,18.0,,,,,100.0,,,,,,,,101.00553216659127,85.39403743933441,0.1188118811881188
Mauritius,MUS,2021,12.0,1298915,13.0,,,,,100.0,,,,,,,,101.00553216659127,85.39403743933441,0.1188118811881188
Mauritius,MUS,2022,12.0,1299469,17.0,260.0,5.0,,,100.0,,,,,,42.0,,101.00553216659127,85.39403743933441,0.1188118811881188
Mexico,MEX,2018,23.0,124013861,9.6,,,,,78.38926174496645,,,12013738.0,3427751.0,12134540.0,,,101.00553216659127,85.39403743933441,0.28971172542057655
Mexico,MEX,2019,23.0,125085311,12.0,,,,,70.65052950075643,,,11105557.0,3123065.0,13093600.0,,,117.90133534049664,85.39403743933441,0.3210025126158654
Mexico,MEX,2020,23.0,125998302,13.0,,,,,66.351606805293,,,13059495.0,2457000.0,14287980.0,,,109.4068338783391,85.39403743933441,0.3414914816581998
Mexico,MEX,2021,25.0,126705138,13.0,,,,,70.60518731988472,,,13934709.0,5030181.0,6193761.0,,,44.448441657446885,85.39403743933441,0.34913671670624224
Mexico,MEX,2022,28.0,127504125,12.0,40000.0,1100.0,,,70.60518731988472,,,7950060.0,2166710.0,8816494.0,42.0,,110.89845862798519,85.39403743933441,0.34913671670624224
Micronesia (Federated States of),FSM,2018,109.0,110929,,,,,,100.0,,,615550.0,33528.0,,,,94.34653338749958,85.39403743933441,1.0792079207920793
Micronesia (Federated States of),FSM,2019,102.0,111379,0.0,,,,,100.0,,,,,617851.0,,,94.34653338749958,85.39403743933441,1.00990099009901
Micronesia (Federated States of),FSM,2020,103.0,112106,0.0,,,,,75.0,,,617851.0,10000.0,582921.0,,,94.34653338749958,85.39403743933441,1.355263157894737
Micronesia (Federated States of),FSM,2021,80.0,113131,0.0,,,,,75.0,,,587921.0,0.0,587921.0,,,100.0,85.39403743933441,1.0526315789473684
Micronesia (Federated States of),FSM,2022,53.0,114164,0.0,,,,,75.0,,,587921.0,0.0,592921.0,42.0,,100.85045439778473,85.39403743933441,1.0526315789473684
Monaco,MCO,2018,3.1,37029,,,,,,96.45569620253166,,,,,,,,98.01803139664545,85.39403743933441,4.39173918690739
Monaco,MCO,2019,0.0,37034,,,,,,96.45569620253166,,,,,,,,98.01803139664545,85.39403743933441,4.39173918690739
Monaco,MCO,2020,0.0,36922,,,,,,96.45569620253166,,,,,,,,98.01803139664545,85.39403743933441,4.39173918690739
Monaco,MCO,2021,0.0,36686,,,,,,96.45569620253166,,,,,,,,98.01803139664545,85.39403743933441,4.39173918690739
Monaco,MCO,2022,1.1,36469,,,,,,96.45569620253166,,,,,,,,98.01803139664545,85.39403743933441,4.39173918690739
Mongolia,MNG,2018,428.0,3163991,0.11,,,,,96.45569620253166,,,6073961.0,441194.0,5953577.0,,,98.01803139664545,85.39403743933441,4.39173918690739
Mongolia,MNG,2019,428.0,3232430,0.12,,,,,96.45569620253166,,,5585647.0,576448.0,5584017.0,,,99.97081806279559,85.39403743933441,4.39173918690739
Mongolia,MNG,2020,402.0,3294335,0.12,,,,,96.5986394557823,,,5555520.0,387930.0,5251520.0,,,94.52796497897586,85.39403743933441,4.118909876629261
Mongolia,MNG,2021,414.0,3347782,0.09,,,,,96.5986394557823,,,7103757.0,1322429.0,6835232.0,,,96.21995797435076,85.39403743933441,4.118909876629261
Mongolia,MNG,2022,452.0,3398366,0.0,5000.0,670.0,,,96.5986394557823,,,9501528.0,1365411.0,9162716.0,44.0,,96.43413143654368,85.39403743933441,4.118909876629261
Montenegro,MNE,2018,15.0,631455,1.2,,,,,100.0,,,70000.0,,58000.0,,,82.85714285714286,85.39403743933441,0.1485148514851485
Montenegro,MNE,2019,15.0,630396,0.0,,,,,100.0,,,100000.0,,60000.0,,,60.0,85.39403743933441,0.1485148514851485
Montenegro,MNE,2020,14.0,629048,0.0,,,,,100.0,,,120000.0,,50000.0,,,41.66666666666667,85.39403743933441,0.1485148514851485
Montenegro,MNE,2021,14.0,627859,0.0,,,,,100.0,,,100000.0,,50000.0,,,50.0,85.39403743933441,0.1485148514851485
Montenegro,MNE,2022,14.0,627082,3.0,120.0,2.7,,,100.0,,,150000.0,,50000.0,42.0,,33.33333333333333,85.39403743933441,0.1485148514851485
Montserrat,MSR,2018,0.0,4359,,,,,,87.50596089651884,,,,,0.0,,,49.544693190644686,85.39403743933441,1.1185687268651971
Montserrat,MSR,2019,0.0,4505,,,,,,87.50596089651884,,,2000.0,,,,,49.544693190644686,85.39403743933441,1.1185687268651971
Montserrat,MSR,2020,0.0,4500,,,,,,87.50596089651884,,,,,,,,49.544693190644686,85.39403743933441,1.1185687268651971
Montserrat,MSR,2021,0.0,4417,,,,,,87.50596089651884,,,,,,,,49.544693190644686,85.39403743933441,1.1185687268651971
Montserrat,MSR,2022,0.0,4390,,,,,,87.50596089651884,,,,,,,,49.544693190644686,85.39403743933441,1.1185687268651971
